Date,Time,Open,High,Low,Close,Volume
2020.02.14,7:00,1.08308,1.08327,1.08306,1.08327,598
2020.02.14,8:00,1.08326,1.08368,1.08326,1.08367,806
2020.02.14,9:00,1.08368,1.08384,1.08338,1.08352,1179
2020.02.14,10:00,1.08351,1.08429,1.08345,1.08407,2491
2020.02.14,11:00,1.08408,1.08429,1.08318,1.08427,2786
2020.02.14,12:00,1.08426,1.08497,1.08397,1.08446,3394
2020.02.14,13:00,1.08445,1.08489,1.08375,1.08387,2505
2020.02.14,14:00,1.08386,1.08443,1.08366,1.08367,2569
2020.02.14,15:00,1.08366,1.08447,1.08321,1.08394,3064
2020.02.14,16:00,1.08395,1.08592,1.08355,1.08547,6624
2020.02.14,17:00,1.08548,1.08608,1.08507,1.08561,4930
2020.02.14,18:00,1.08562,1.08589,1.08434,1.08454,5182
2020.02.14,19:00,1.08455,1.08463,1.08366,1.08388,3907
2020.02.14,20:00,1.08387,1.08432,1.08325,1.08429,2387
2020.02.14,21:00,1.08428,1.08459,1.08414,1.08433,1580
2020.02.14,22:00,1.08432,1.08451,1.08384,1.08391,1173
2020.02.14,23:00,1.0839,1.08408,1.08359,1.08368,1470
2020.02.15,0:00,1.08369,1.08385,1.08289,1.08294,2609
2020.02.17,1:00,1.08393,1.08412,1.0835,1.0838,3463
2020.02.17,2:00,1.08381,1.08413,1.08357,1.08408,1042
2020.02.17,3:00,1.08409,1.08409,1.08348,1.08355,1488
2020.02.17,4:00,1.08356,1.08376,1.08332,1.08363,892
2020.02.17,5:00,1.08362,1.08399,1.08357,1.08388,765
2020.02.17,6:00,1.08387,1.08388,1.08368,1.08381,713
2020.02.17,7:00,1.08382,1.08402,1.08372,1.08373,590
2020.02.17,8:00,1.08374,1.08409,1.08374,1.08392,639
2020.02.17,9:00,1.08393,1.08401,1.08336,1.08348,1062
2020.02.17,10:00,1.08349,1.08418,1.08348,1.08402,1801
2020.02.17,11:00,1.08403,1.0846,1.08369,1.08459,2607
2020.02.17,12:00,1.08458,1.08506,1.08421,1.08438,2641
2020.02.17,13:00,1.08439,1.08469,1.08422,1.08466,1939
2020.02.17,14:00,1.08465,1.08476,1.08356,1.08388,2284
2020.02.17,15:00,1.08387,1.08414,1.08348,1.08359,2237
2020.02.17,16:00,1.0836,1.08404,1.08317,1.08357,1891
2020.02.17,17:00,1.08356,1.08409,1.08347,1.08386,1770
2020.02.17,18:00,1.08385,1.08395,1.0829,1.08292,2076
2020.02.17,19:00,1.08293,1.08375,1.08287,1.0837,1665
2020.02.17,20:00,1.08369,1.08395,1.08314,1.08318,1296
2020.02.17,21:00,1.08317,1.08345,1.08296,1.08325,1208
2020.02.17,22:00,1.08324,1.08352,1.08306,1.08333,1275
2020.02.17,23:00,1.08332,1.08343,1.08313,1.08329,1156
2020.02.18,0:00,1.08328,1.08373,1.08318,1.08344,2001
2020.02.18,1:00,1.08346,1.08375,1.08324,1.08368,1539
2020.02.18,2:00,1.08367,1.0837,1.08346,1.08364,845
2020.02.18,3:00,1.08363,1.08364,1.08246,1.08256,2206
2020.02.18,4:00,1.08255,1.08283,1.08225,1.08272,1637
2020.02.18,5:00,1.08271,1.08287,1.08231,1.08279,1247
2020.02.18,6:00,1.08278,1.08335,1.08276,1.08321,972
2020.02.18,7:00,1.0832,1.08327,1.08296,1.08298,679
2020.02.18,8:00,1.08297,1.08318,1.08296,1.08307,583
2020.02.18,9:00,1.08308,1.08363,1.08281,1.08296,1644
2020.02.18,10:00,1.08295,1.08368,1.08293,1.08326,3237
2020.02.18,11:00,1.08327,1.08347,1.08246,1.08259,4560
2020.02.18,12:00,1.0826,1.0831,1.08242,1.08272,3119
2020.02.18,13:00,1.08271,1.08366,1.08211,1.08264,7432
2020.02.18,14:00,1.08265,1.08354,1.08241,1.08241,3417
2020.02.18,15:00,1.08242,1.08244,1.08121,1.08137,4200
